24,480,854
2,436,376
5,489,383
11,734,178
14,353,208
15,350,180
16,523,220
17,521,220
18,341,99
19,519,220
20,340,66
21,516,220
22,335,24
23,332,13
24,588,379
28,730,181
29,728,176
30,726,177
34,238,179
37,354,190
39,300,25
40,297,34
41,251,161
48,212,281
49,452,197
50,454,204
51,458,210
53,208,267
54,463,232
55,505,218
56,466,227
57,469,218
58,468,214
59,232,272
60,469,206
61,470,201
62,469,198
63,469,196
64,470,195
66,468,192
68,465,353
69,468,196
70,468,197
71,466,199
72,465,198
73,466,202
74,467,203
75,467,208
76,463,206
77,463,189
78,458,189
79,457,184
80,457,178
81,453,166
82,487,217
83,453,158
84,450,154
85,447,144
86,447,140
87,447,136
88,445,135
89,473,219
90,443,124
91,441,123
92,440,122
93,437,118
94,435,116
95,435,116
96,433,117
97,433,118
98,431,120
99,432,124
100,431,126
101,431,136
102,431,142
103,316,177
104,427,157
106,428,197
107,427,212
108,427,230
109,426,252
111,425,337
112,423,330
113,422,315
114,418,286
115,413,274
122,450,145
125,473,135
129,492,142
130,498,147
131,499,149
132,455,220
133,503,154
134,508,161
135,507,164
136,509,168
137,509,169
138,515,180
139,516,184
140,517,188
141,519,191
142,521,200
143,521,206
144,524,209
145,525,212
146,529,222
147,528,223
148,527,221
149,528,220
150,733,178
151,531,204
152,529,202
153,529,200
154,530,194
155,530,194
156,530,192
157,531,191
158,529,192
159,704,178
162,732,176
163,732,177
164,530,187
166,525,180
167,524,176
168,521,176
169,521,172
170,517,170
171,516,169
172,512,168
173,510,166
174,507,166
175,501,161
176,501,162
177,499,162
178,491,164
179,489,165
180,485,166
181,481,166
185,459,178
187,442,190
188,438,196
189,429,203
190,415,217
191,817,201
192,402,235
193,394,246
194,375,269
195,363,285
196,356,283
197,349,276
198,334,263
200,318,253
201,311,252
202,290,245
203,280,243
206,237,246
208,209,253
212,276,215
213,285,211
214,301,208
215,309,209
216,312,207
217,318,210
218,326,214
220,331,218
221,333,220
222,452,213
223,342,230
224,344,233
225,344,227
226,724,175
227,724,176
228,427,192
229,351,210
230,352,206
231,725,177
232,354,204
233,431,216
234,427,214
235,359,202
236,359,204
237,359,204
238,359,210
239,363,212
240,362,213
241,362,214
242,398,212
248,371,196
249,724,175
250,812,206
251,379,191
252,382,191
253,385,188
254,390,189
255,391,192
256,396,192
257,397,194
258,406,198
259,412,201
260,413,202
261,422,209
262,433,220
263,440,229
264,447,238
267,453,224
268,452,221
269,455,217
270,454,212
277,359,213
281,354,213
282,463,226
283,462,229
284,465,234
285,463,236
286,463,234
287,464,230
290,465,222
291,466,220
292,465,219
293,465,217
294,726,176
295,464,214
296,467,220
297,467,220
298,726,176
299,468,224
